Start,Finish,Distance (mi),Flights Climbed (count),Steps (count)
10/4/2015 0:00,10/5/2015 0:00,3.450517726,17,8082
10/5/2015 0:00,10/6/2015 0:00,5.285551131,13,11185
10/6/2015 0:00,10/7/2015 0:00,4.479303368,11,9727
10/7/2015 0:00,10/8/2015 0:00,0,0,0
10/8/2015 0:00,10/9/2015 0:00,3.412023781,10,7518
10/9/2015 0:00,10/10/2015 0:00,3.853998896,11,8495
10/10/2015 0:00,10/11/2015 0:00,4.567736916,11,9817
10/11/2015 0:00,10/12/2015 0:00,3.267213225,10,6768
10/12/2015 0:00,10/13/2015 0:00,5.675492623,12,12100
10/13/2015 0:00,10/14/2015 0:00,5.218182067,11,11355
10/14/2015 0:00,10/15/2015 0:00,4.705544619,11,10136
10/15/2015 0:00,10/16/2015 0:00,3.577818043,5,7833
10/16/2015 0:00,10/17/2015 0:00,6.839488636,12,14255
10/17/2015 0:00,10/18/2015 0:00,5.855174531,14,12233
10/18/2015 0:00,10/19/2015 0:00,2.90359923,11,6006
10/19/2015 0:00,10/20/2015 0:00,6.210785264,17,12769
10/20/2015 0:00,10/21/2015 0:00,4.629103535,10,9630
10/21/2015 0:00,10/22/2015 0:00,4.270460511,13,8621
10/22/2015 0:00,10/23/2015 0:00,3.784324545,9,8146
10/23/2015 0:00,10/24/2015 0:00,3.320837559,11,7610
10/24/2015 0:00,10/25/2015 0:00,5.6537757,11,12102
10/25/2015 0:00,10/26/2015 0:00,4.212343663,9,8966
10/26/2015 0:00,10/27/2015 0:00,4.705588115,16,9731
10/27/2015 0:00,10/28/2015 0:00,4.218159697,19,9388
10/28/2015 0:00,10/29/2015 0:00,3.176107781,10,6598
10/29/2015 0:00,10/30/2015 0:00,4.845135658,11,9786
10/30/2015 0:00,10/31/2015 0:00,5.206059115,11,10708
10/31/2015 0:00,11/1/2015 0:00,4.461805556,6,9093
11/1/2015 0:00,11/2/2015 0:00,2.739843066,11,5660
11/2/2015 0:00,11/3/2015 0:00,5.376911338,18,11706
11/3/2015 0:00,11/4/2015 0:00,2.691121351,5,5527
11/4/2015 0:00,11/5/2015 0:00,4.082682136,10,8451
11/5/2015 0:00,11/6/2015 0:00,3.845585531,3,7729
11/6/2015 0:00,11/7/2015 0:00,4.241467331,2,8480
11/7/2015 0:00,11/8/2015 0:00,3.60151714,8,7505
11/8/2015 0:00,11/9/2015 0:00,7.742322338,13,17235
11/9/2015 0:00,11/10/2015 0:00,4.098042432,17,8691
11/10/2015 0:00,11/11/2015 0:00,4.239895262,10,8870
11/11/2015 0:00,11/12/2015 0:00,4.222689493,14,9476
11/12/2015 0:00,11/13/2015 0:00,3.383241867,10,7238
11/13/2015 0:00,11/14/2015 0:00,4.192789112,20,8355
11/14/2015 0:00,11/15/2015 0:00,5.085612523,15,10364
11/15/2015 0:00,11/16/2015 0:00,3.79961649,7,7895
11/16/2015 0:00,11/17/2015 0:00,4.495036487,19,9858
11/17/2015 0:00,11/18/2015 0:00,3.789587559,16,8182
11/18/2015 0:00,11/19/2015 0:00,3.802710918,13,8371
11/19/2015 0:00,11/20/2015 0:00,3.795061839,10,7919
11/20/2015 0:00,11/21/2015 0:00,5.491336843,5,11499
11/21/2015 0:00,11/22/2015 0:00,5.598834059,15,11587
11/22/2015 0:00,11/23/2015 0:00,2.929435845,9,6038
11/23/2015 0:00,11/24/2015 0:00,7.861047731,23,16924
11/24/2015 0:00,11/25/2015 0:00,9.712336207,19,20324
11/25/2015 0:00,11/26/2015 0:00,8.93377053,14,17908
11/26/2015 0:00,11/27/2015 0:00,4.123779627,3,8511
11/27/2015 0:00,11/28/2015 0:00,2.361061401,0,4745
11/28/2015 0:00,11/29/2015 0:00,1.111483934,0,2183
11/29/2015 0:00,11/30/2015 0:00,1.124010777,0,2220
11/30/2015 0:00,12/1/2015 0:00,3.443055058,17,7717
12/1/2015 0:00,12/2/2015 0:00,2.913603307,17,6335
12/2/2015 0:00,12/3/2015 0:00,4.524259574,13,9172
12/3/2015 0:00,12/4/2015 0:00,4.130608496,13,8485
12/4/2015 0:00,12/5/2015 0:00,2.664719289,12,5592
12/5/2015 0:00,12/6/2015 0:00,3.823315587,14,9039
12/6/2015 0:00,12/7/2015 0:00,3.073538038,7,6836
12/7/2015 0:00,12/8/2015 0:00,4.388695021,17,9136
12/8/2015 0:00,12/9/2015 0:00,2.468950082,10,5239
12/9/2015 0:00,12/10/2015 0:00,4.247724539,16,8925
12/10/2015 0:00,12/11/2015 0:00,3.882793237,9,8696
12/11/2015 0:00,12/12/2015 0:00,3.446248906,11,7314
12/12/2015 0:00,12/13/2015 0:00,6.958561998,21,15445
12/13/2015 0:00,12/14/2015 0:00,9.017848266,24,19223
12/14/2015 0:00,12/15/2015 0:00,5.888952269,18,12988
12/15/2015 0:00,12/16/2015 0:00,4.5970035,13,10029
12/16/2015 0:00,12/17/2015 0:00,4.711950956,12,9936
12/17/2015 0:00,12/18/2015 0:00,2.461959656,6,5146
12/18/2015 0:00,12/19/2015 0:00,3.089407858,11,6498
12/19/2015 0:00,12/20/2015 0:00,4.621758928,16,9971
12/20/2015 0:00,12/21/2015 0:00,7.274740515,13,15646
12/21/2015 0:00,12/22/2015 0:00,3.981292999,11,8289
12/22/2015 0:00,12/23/2015 0:00,5.333141951,6,10775
12/23/2015 0:00,12/24/2015 0:00,2.711856508,4,5537
